ref,title,price,image,quantity,size,chain_size,amazonite,amethyst,amethysts,aquamarines,aventurine,black ceramic,black lacquer,bracelets,brown diamonds,carnelian,carnelians,ceramic,chrysoprase,chrysoprases,citrine,coral,diamond,diamonds,earrings,emeralds,garnets,gray mother_of_pearl,lacquer,lapis lazuli,malachite,mother_of_pearl,necklaces,non_rhodiumized white gold,obsidians,onyx,pearl,peridots,pink gold,pink sapphire,pink sapphires,platinum,rings,rubies,sapphire,sapphires,spessartite garnet,spinels,tsavorite garnet,tsavorite garnets,white gold,white mother_of_pearl,yellow gold
 B4218200,"Love ring, SM",4800,https://www.cartier.com/content/dam/rcq/car/10/57/33/4/1057334.png,5,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 B4083300,"Love wedding band, diamond-paved",6650,https://www.cartier.com/content/dam/rcq/car/63/23/98/632398.png,29,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 B4085800,"Love wedding band, diamond-paved",6650,https://www.cartier.com/content/dam/rcq/car/63/24/07/632407.png,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 B4083400,"Love wedding band, diamond-paved",7100,https://www.cartier.com/content/dam/rcq/car/63/24/06/632406.png,10,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 B4087600,"Love ring, diamond-paved",8800,https://www.cartier.com/content/dam/rcq/car/58/62/96/586296.png,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 B4207600,"Love ring, diamond-paved, ceramic",10900,https://www.cartier.com/content/dam/rcq/car/58/77/67/587767.png,30,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 N4210400,"Love ring, diamond-paved",14900,https://www.cartier.com/content/dam/rcq/car/19/44/00/0/1944000.png,41,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 B4087800,Love ring,2760,https://www.cartier.com/content/dam/rcq/car/63/24/02/632402.png,26,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
 B4227900,Love ring,3500,https://www.cartier.com/content/dam/rcq/car/16/48/33/4/1648334.png,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 N4742200,Panthère de Cartier ring,20700,https://www.cartier.com/content/dam/rcq/car/14/41/41/5/1441415.png,8,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 B4221600,Panthère de Cartier ring,7550,https://www.cartier.com/content/dam/rcq/car/16/49/50/5/1649505.png,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
 N4722400,Panthère de Cartier ring,78500,https://www.cartier.com/content/dam/rcq/car/59/84/12/598412.png,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 H4078300,Panthère de Cartier ring,132000,https://www.cartier.com/content/dam/rcq/car/15/54/61/9/1554619.png,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
 B4230000,Panthère de Cartier ring,3150,https://www.cartier.com/content/dam/rcq/car/18/11/85/2/1811852.png,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
 B4230100,Panthère de Cartier ring,3150,https://www.cartier.com/content/dam/rcq/car/18/11/85/1/1811851.png,20,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
 B4085900,Panthère de Cartier ring,6000,https://www.cartier.com/content/dam/rcq/car/58/62/99/586299.png,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
 B4215900,Panthère de Cartier ring,6000,https://www.cartier.com/content/dam/rcq/car/10/22/49/4/1022494.png,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
 B4230800,Panthère de Cartier ring,6100,https://www.cartier.com/content/dam/rcq/car/18/11/85/3/1811853.png,3,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
 B4099500,Panthère de Cartier ring,6450,https://www.cartier.com/content/dam/rcq/car/58/42/06/584206.png,35,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
 B4096700,Panthère de Cartier ring,7550,https://www.cartier.com/content/dam/rcq/car/62/08/05/620805.png,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
 B4221400,Panthère de Cartier ring,7550,https://www.cartier.com/content/dam/rcq/car/14/65/62/0/1465620.png,22,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
 B4221700,Panthère de Cartier ring,7550,https://www.cartier.com/content/dam/rcq/car/16/49/50/6/1649506.png,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
 N4765700,Panthère de Cartier ring,9850,https://www.cartier.com/content/dam/rcq/car/18/11/85/7/1811857.png,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 N4765800,Panthère de Cartier ring,9850,https://www.cartier.com/content/dam/rcq/car/18/11/85/8/1811858.png,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 N4765900,Panthère de Cartier ring,10600,https://www.cartier.com/content/dam/rcq/car/18/11/85/9/1811859.png,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 B4074100,Panthère de Cartier ring,11200,https://www.cartier.com/content/dam/rcq/car/15/17/90/9/1517909.png,31,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
 N4765500,Panthère de Cartier ring,12900,https://www.cartier.com/content/dam/rcq/car/18/11/85/5/1811855.png,49,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 N4765600,Panthère de Cartier ring,13900,https://www.cartier.com/content/dam/rcq/car/18/11/85/6/1811856.png,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 N4244700,Panthère de Cartier ring,19500,https://www.cartier.com/content/dam/rcq/car/59/21/32/592132.png,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 N4722500,Panthère de Cartier ring,20000,https://www.cartier.com/content/dam/rcq/car/59/84/08/598408.png,12,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
 N4225000,Panthère de Cartier ring,20700,https://www.cartier.com/content/dam/rcq/car/14/41/41/2/1441412.png,1,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 N4730900,Panthère de Cartier ring,21400,https://www.cartier.com/content/dam/rcq/car/77/79/61/777961.png,41,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
 N4224900,Panthère de Cartier ring,22200,https://www.cartier.com/content/dam/rcq/car/14/41/40/9/1441409.png,24,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 N4193100,Panthère de Cartier ring,25300,https://www.cartier.com/content/dam/rcq/car/61/34/77/613477.png,31,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 N4767700,Panthère de Cartier ring,35700,https://www.cartier.com/content/dam/rcq/car/18/12/60/5/1812605.png,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 N4225200,Panthère de Cartier ring,37100,https://www.cartier.com/content/dam/rcq/car/58/61/93/586193.png,47,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 N4748900,Panthère de Cartier ring,37600,https://www.cartier.com/content/dam/rcq/car/16/49/50/7/1649507.png,17,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 N4767800,Panthère de Cartier ring,38200,https://www.cartier.com/content/dam/rcq/car/18/12/71/6/1812716.png,39,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 H4183300,Panthère de Cartier ring,217000,https://www.cartier.com/content/dam/rcq/car/10/16/77/8/1016778.png,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
 N4211000,Panthère de Cartier ring,55500,https://www.cartier.com/content/dam/rcq/car/59/34/76/593476.png,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 H4275500,Panthère de Cartier ring,57000,https://www.cartier.com/content/dam/rcq/car/58/85/46/588546.png,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 H4226300,Panthère de Cartier ring,183000,https://www.cartier.com/content/dam/rcq/car/10/18/10/4/1018104.png,8,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 N4251300,Les Oiseaux Libérés ring,47900,https://www.cartier.com/content/dam/rcq/car/59/13/11/591311.png,1,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
 H4300800,Les Oiseaux Libérés ring,68500,https://www.cartier.com/content/dam/rcq/car/91/02/64/910264.png,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
 H4323300,Cactus de Cartier ring,74500,https://www.cartier.com/content/dam/rcq/car/10/54/16/8/1054168.png,19,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 B4038900,"Trinity ring, classic",12400,https://www.cartier.com/content/dam/rcq/car/59/18/80/591880.png,50,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
 B4052700,"Trinity ring, classic",1340,https://www.cartier.com/content/dam/rcq/car/58/99/65/589965.png,32,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
 B4095600,"Trinity ring, classic ceramic",1260,https://www.cartier.com/content/dam/rcq/car/56/73/40/567340.png,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 B4088500,Trinity ring,2320,https://www.cartier.com/content/dam/rcq/car/58/57/15/585715.png,49,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
 B4052800,"Trinity ring, LM",2390,https://www.cartier.com/content/dam/rcq/car/58/62/83/586283.png,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
 B4099300,Trinity Ruban wedding band,4350,https://www.cartier.com/content/dam/rcq/car/59/31/78/593178.png,24,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 B4086000,"Trinity ring, small model",6450,https://www.cartier.com/content/dam/rcq/car/58/51/01/585101.png,39,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
 B4099400,Trinity Ruban wedding band,7050,https://www.cartier.com/content/dam/rcq/car/56/25/33/562533.png,18,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 N4227600,"Trinity ring, small model",17700,https://www.cartier.com/content/dam/rcq/car/58/80/64/588064.png,23,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
 N4210800,"Trinity ring, LM",43300,https://www.cartier.com/content/dam/rcq/car/14/61/56/3/1461563.png,32,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
 B4002300,1895 wedding band,690,https://www.cartier.com/content/dam/rcq/car/92/55/42/925542.png,21,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 B4088100,1895 wedding band,690,https://www.cartier.com/content/dam/rcq/car/92/55/78/925578.png,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 B4057600,1895 wedding band,810,https://www.cartier.com/content/dam/rcq/car/92/55/60/925560.png,8,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 B4088200,1895 wedding band,810,https://www.cartier.com/content/dam/rcq/car/92/55/79/925579.png,42,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 B4078000,1895 wedding band,890,https://www.cartier.com/content/dam/rcq/car/98/46/51/984651.png,40,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 B4031200,1895 wedding band,970,https://www.cartier.com/content/dam/rcq/car/92/55/50/925550.png,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 B4096600,1895 wedding band,970,https://www.cartier.com/content/dam/rcq/car/92/55/80/925580.png,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 B4012500,1895 wedding band,1110,https://www.cartier.com/content/dam/rcq/car/92/55/44/925544.png,5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 B4031300,1895 wedding band,1110,https://www.cartier.com/content/dam/rcq/car/98/46/49/984649.png,39,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 B4057700,1895 wedding band,1300,https://www.cartier.com/content/dam/rcq/car/92/55/61/925561.png,45,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 B4059600,1895 wedding band,1380,https://www.cartier.com/content/dam/rcq/car/92/55/64/925564.png,14,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 B4036700,1895 wedding band,1550,https://www.cartier.com/content/dam/rcq/car/92/55/51/925551.png,23,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
